,text
203,.
204,"Nói như kiểu bọn ticktok nó biết mà vẫn cố quảng cáo k bằng. Đến cán bộ còn k biết thì chúng nó biết cái j. Cứ thấy ngon hoặc có tiền qc là làm thôi, mắc mớ j bắt chúng nó phải đính chính hay phải xin lỗi mới vừa lòng"
205,S trách được tiktoker nó củng có bt đâu cty nó đâu khùng cho tụi nó bt 😂😂😂
206,May quá 😂lần đầu tiên mua 1 hộp để 6 tháng chưa ăn😂giờ đc đăng 😂mình quá may mắn khi làm biếng ăn nên chưa khui nắp😂😂😂
207,"Đăng bài mà nói là nguồn cóp nhặt, nếu có thiếu sót thì đóng góp. Nghe rất vô trách nhiệm"
208,Thằng too nưu ranh cổ mộ
209,"Từ bé đến giờ bố mẹ không cho ăn xúc xích, thịt đồ hộp và bảo mấy món đấy toàn thịt thối, lợn chết. Kể ra cũng may mắn thật đấy"
210,Nhưng bị bắt từ lâu vậy mà không khui ra sớm rồi thu hồi sản phẩm. Ảo nhể.
211,Tôi đề xuất sau khi bắt bỏ tù hết những người liên quan thì dùng chính loại patê này cho họ ăn mỗi bửa cho đến hết đời.
212,Mấy thg mà thông tin k công bố??? Chờ để chạy chọt hay gì???
213,Cái tôi băn khoăn nữa là cả cái dây chuyền nhân công đồ sộ như thế nhưng nào giờ tuyệt nhiên k ai hó hé gì về việc thịt bẩn này luôn. Kiểu nào giờ vẫn thấy nhiều người chia sẻ góc khuất ngành nghề các kiểu nhưng vụ này đúng kiểu bom rơi trên trời xuống k ai biết gì
214,họ thật sự liêm khi đó là thịt heo thật ( không kể chất lượng)
215,"Lũ cộng sản nó ém tin kinh dị lắm, tận 5 tháng để dân ăn rác thải mà vẫn nhắm mắt lm ngơ đc"
216,"- một hãng cũ
+drama"
217,vissan hi vọng ko bị dính
218,thịt thối thì mua về phải xử lý hoá chất. nghĩa là phải biết trước mình đang nhập thịt thối để mà nghiên cứu cách xử lý + tìm nhập nguồn hóa chất trước đó rồi chứ càng đợi thì nó càng thối làm ra thành phẩm sao đánh lừa khách hàng được
219,Xem xong không giám ăn đồ ăn sẵn nữa luôn sợ quá
220,🥰
221,HaLong Canfoco và CP liên quan nhau nhưng tôi không thể chứng minh được 💀
222,Nghe tới Người Việt ủng hộ hàng Việt giờ cũng thấy rén miệng
223,"Môn Đạo Đức không có trong kỳ thi Tốt nghiệp nào luôn thì phải :D 
Toàn các môn Toán, Lý, Hoá rồi các Khoá học làm giàu, thành công."
224,Đồ ngoài bắc đừng bao giờ mua
225,câu hỏi là ngoài 130 tấn không may bị bắt này  này trước đây còn có mấy lần 130 tấn nữa ?
226,"May quá ko ăn mấy cái đồ này, và sau này cũng éo ăn gì nữa."
227,Tôi ko dám đâu
228,"Nó ngon thật mà ,sao phải tra hỏi mấy vị đã review nó ,người ta cũng có  biết thịt bẩn đâu"
229,"thắc mắc là sao từ tháng 9 tới giờ mà mới có thông tin, người nổi tiếng nào đó ốm đau cái là lên mxh đầy thông tin"
230,Mình nghèo ra chợ mua thịt tươi về ăn trong ngày😅tiền đâu mà ăn thịt hộp😅😅😅 đồ ngon của người giàu😅
231,"Kênh của ông Lóng nhiều ông hay tổ lái lắm nhé, vào xem xóa bớt"
232,"70 năm cho 1 thương hiệu mà xài kiểu này thì thật sự quá thất đức😑 thế là mất cả cty luôn,bnh bệnh cho người tiêu dùng.Này phải làm hình sự cao lên"
233,"Tôi la nạn nhân của bánh mì phượng hội an, 3 ngày kinh khủng"
234,"Bảo sao mấy năm gần đây cứ phát động kêu đẻ, tiêu hao người quá mà =))"
235,"Cán bộ ta nhận tiền còn ko biết là sai, dân đen ko biết lợn bệnh là bt"
236,làm về jeffrey epstein đi  ad Lóng ơi
237,"Toàn tại mấy cái danh hiệu top ""100 thương hiệu mạnh asian"" có làm doanh ngiệp mới biết chúng nó gọi suốt ngày mỗi danh hiệu từ 10 đến 50 triệu có ai quản lý đâu. Chỉ cần mấy thằng nó thành lập 1 hiệp hội xong nó lấy danh nghĩa đi bán giải thưởng. Dân nghèo cứ nhìn thấy giải thưởng uy tín tin sái cổ"
238,Quá kinh khủng dân ta hại dân ta
239,Thế thì bao lâu nữa💀💀
240,"Tâm lý ham rẻ hại chết người, đồ rẻ thì dĩ nhiên hoặc là thành phẩm rẻ hoặc là quy trình sản xuất cắt xén, quy luật tự nhiên."
241,"1:47 người Hải Phòng đéo bao giờ dùng cái này, cũng chả có cái gì là pate Hp  mà mấy thằng review food cứ pate nổi tiếng HP nghe ngu hết người"
242,Pít ham ăn lên bài rùi á ní
243,Không biết heo hai lát với bò 2 lát có bị gì không nhỉ
244,"Đợt năm 2021 t bị covid, ở nhà ăn đồ hộp hãng này suốt, giờ nghĩ lại thấy sợ qu😢."
245,Bảo sao hồi sinh viên 3-4 năm trc em ăn toàn bị đau bụng. 😂 cứ nghĩ n đau bụng do ăn nhiều chất quá vì ăn 2 hộp 3 tê gan cùng lúc
246,Đồ gì dơ vs hoá chất toàn bắc kì k nhỉ
247,Quan tham đục khoét việt nam rồi hưởng lạc nơi xứ dãy chết! Tôi nói thật có điều tra sâu hơn mọi tội ác đều dẫn đến người chống lưng ! Tốt nhất là không đẻ hoặc ra nước ngoài ! Cầm quyền coi thường dân thì dân việc gì phải làm lợi cho chính quyền nữa😢
248,Bảo sao người dân nuôi lợn càng ngày càng lỗ! Tiền bán còn không bằng tiền mua cám! Toàn nhớ mấy công ty với thịt lợn tả này mà ra!
249,Tôi đếch bao giờ ăn đồ hộp nên kh lo lắm😅
250,Nói chung là dell Sài hàng việt nữa
251,Độ trễ thông tin thật khủng khiếp! Rồi bao người phải ăn từ  tháng 9 tới giờ? Lỗi do ai bưng bít thông tin!?
252,"Ủng hộ nhà nước mạnh tay với lũ hại đồng bào, ủng hộ bác Tô Lâm"
253,"Giết người hàng loạt nhưng lại kg bao giờ bị tử hình,luật đúng là phim hài 😂😂😂"
254,"Ko biết ở nơi khác ntn, chứ người HP như mình thì ra cột đèn mua pate làm ngay chứ k dùng đồ hộp"
255,0:26 câu trả lời đây
256,điểm cộng cho bác Tổng Tô là phanh phui rất nhiều vùng tối vốn đã tồn tại quá nhiều năm
257,Thì trong mấy tháng đó họ ko công bố thông tin mà cho dân ăn hết mớ đó😂
258,"vaiz ò, vừa ăn xog thì gặp clip=))"
259,"Cứ quản lý kiểu bjio thì dân ăn đồ bẩn là món thường xuyên, theo mình bjo nhốt hết đội này vào bắt ăn hết chỗ đó rồi thả ra 😂😂😂😂😂"
260,“Hàng việt nam chất lượng cao”
261,May là tôi méo bao giờ ăn pate cột đèn... nghe tên là thấy bịp. Nhưng tôi lại ăn heo 2 lát của nó.
262,"Bùn qớ, sao ng việt hại ng việt v 😢 mình cũng hay ăn mà quá thất vọng lun, giờ chắc chỉ tự nấu ăn th"
263,"Dựng ra thế lực thù địch nước ngoài để đấu tố, nhưng từ thời đầu Covid đến bây giờ toàn là người Việt ăn thịt đồng bào :))"
264,Chúng  nó  thât  đức  ngiêq  gia đình  Chúng  nó  qåi  ngánh  vơ con cháu nó  bị  ngiêq  quôt
265,Bảo sao các bệnh viện luôn đông đúc
266,"😂 giấy phép hoạt động ai cấp, rồi nhập khẩu.... 😂, hì hì"
267,"các quan bảo kê dần vào tù thì các chân tay bắt đầu lộ ra r, vn đang đc thanh lọc, có khi nó từ trc tới h đã toàn đồ đểu như này, chẳng qua các quan từng bảo vệ các công ti này đang bị đe dọa hoặc bị bớ r mới bắt đầu lộ ra những công ti như này"
268,"gọi là "" nhà máy cá hộp "", có phải là cái tên gọi mà trong phim sóng ở đáy sông, khi núi định xin vào cty để làm đó đúng ko."
269,"Nói ít thôi,không công an nó bắt giờ"
270,tử hình tất cả những người có liên quan
271,bảo sao ăn lạ lạ đcm:)
272,Highlands có dùng thịt của Hạ Long đâu page??
273,chắc ko phải lô đầu nhiểm bệnh dau nhỉ chắc từ xua😂
274,Vụ hạ long này rồi tới vụ làm mì rồi giờ tới vụ nhà hàng tiệc cưới adora
275,"ăn tết xa quê lên tết nào tôi cũng toàn mua đồ hộp hạ long về ăn mấy ngày lễ cho tiện ,đâ phần cá ngừ ngâm dầu . hix tết này thôi khỏi dám ăn"
276,"mình mua hẳn 1 thùng tầm tháng 10 và đã ăn cmn hết nửa thùng rồi. Bình thường mình thích ăn pate vcl, ăn bao nhiêu cũng ko ngán. ấy thế mà đợt này ăn pate lại cứ thấy ngấy. đáng nói là mình còn từng chia cho con mèo nhà mình ăn, nhưng mà nó nhất quyết ko ăn 1 miếng nào. cmn sợ thật."
277,"vì đồng, bào dân tộc 🗣️🔥"
278,ăn vài tỏi xong đi c ty luôn. Quá lời
279,May quá chưa chết
280,Lại là người bắc à
281,Cty này ngày xưa Núi xin vào làm mà ko được nhận. Ông Đại ko xin cho
282,"Bằng chứng rõ ràng cho thấy ta không nên trao quá nhiều năng lực và trách nhiệm cho một vài cá nhân hay tập thể nào. Những trách nhiệm ấy nên là trách nhiệm của chung, là trách nhiệm của mọi người và năng lực nên là năng lực của chung. Trong sự việc này, nếu những công ty, doanh nghiệp phân phối sản phẩm có trách nhiệm và năng lực để kiểm định số đồ hộp kia, thay vì chỉ dựa vào một tờ giấy chứng nhận của một cơ quan duy nhất. Thì có lẽ vụ việc đã sớm bị phanh phui rồi. Đây nên là một lời cảnh tỉnh và là một bài học kinh nghiệm cho sau này. Nếu mỗi doanh nghiệp đều thể hiện trách nhiệm, thậm chí là mỗi người dân đều thể hiện trách nhiệm, thể hiện quyền làm chủ của mình, thì xã hội của chúng ta chắc chắn sẽ phát triển hơn. Nếu làm được điều đó, chúng ta đang bước thêm một bước đến với chủ nghĩa xã hội, đến với một xã hội dân chủ."
283,"kinh vl, tưởng công ty nhỏ thôi do hồi giờ tui chưa từng ăn, k ngờ là cty lớn ở VN như vậy. Giờ thì ai dám ăn đồ VN như này nữa"
284,"Qua vụ CP, bây gio tới H.Long thì mất niềm tin vs đồ đống hộp, xúc xích,... 
Trước giờ cũng ít ăn đỡ ngại miệng"
285,Ăn cơm xem kinh vãi
286,"đầu độc đồng bào ác hơn cả giết người, tử hình hết mẹ đi nói chi nhiều"
287,"ta nói tối ngày cứ đỗ thừa đồ Trung Quốc đầu độc này kia, toàn mấy ông Việt Nam làm ra cả, ông ko đồng ý bố ai ép được ông, người tiêu dùng ko đủ tư duy chỉ có chếch với mấy ông ngồi trên ngai vàng"
288,.
289,"Từng được in hình công nhân đồ hộp trên tờ 20k cotton, giờ lại nát hơn cả vissan"
290,Video chất lượng thật
291,"Delay từ quý 4/2025 > 2026 k delay thì các anh to chạy kiểu gì, cổ phiếu cổ phần bao nhiêu ra. Chạy xong thì tuồn tin ra cho bên khác ăn thôi"
292,Chưa bao giờ t tự hào mình nghèo như lúc này
293,Nê anh luôi 😏 thằng này đểu lắm
294,trời ơi thời sinh viên nghèo toàn ăn mấy cái này giờ mới phanh phui
295,Có lợi nhuận là được còn lại ai quan tâm
296,Nghĩ sao mà lại đi đào clip review từ mấy năm trc  lên để nói này nói nọ  chịu cư dân mạng Vn
297,"thiết nghĩ mẫy ông """"chủ mưu"""" hưởng lợi nhiều nhất thì nên để người mà ai cũng biết là ai chế biến
mới hết tội"
298,Phải phong cong ty Đồ hộp Hạ Long làm Doanh nhân van hoa thế giới vì chế biến được thịt nhiễm bệnh thành đồ hộp cao cấp..thành công tuyet voi.
299,Ở bên Nhật các cửa hàng đồ Việt cũng lao đao
300,DCS viet nam muon nam
301,"Thực phẩm VN thì đừng nên tin,nhất là đồ hộp"
302,"giờ còn hãng đồ hộp nào an toàn ko các bác? Em thấy vị của mấy cái đồ đóng hộp này cũng ngon, chỉ sợ cạch được hãng này vẫn chưa thoát được"
303,"Hoàn toàn ko phải tình cờ công An bắt xe chở thịt, bản chất sâu xa hơn rất nhiều 😅"
304,Rất bình thường với thế giới quyền lực nhà nước 😅
305,Lỗi sai từ trong tư duy.
306,"Lời khuyên nữa là hãy ăn uống lành mạnh, các món đồ hộp, thực phẩm chế biến sẵn nguy hại nhiều hơn là chúng ta tưởng. Không có vụ này t cũng không biết VN có cty Hạ Long 😂😂😂😂"
307,"Do khâu Kiểm định - Vệ sinh an toàn Thực phẩm + Kiểm tra của các cơ quan ban ngành hết. Chừng nào còn không thay đổi cơ chế giám sát mà cứ nhận hối lộ, bao che thì còn lộ ra nhiều vụ. Đây chỉ là phần nổi của ""Tảng Băng trôi"" mà thôi..."
308,"Đồ của băc kỳ ko an toàn, do đặc tính đặt lợi nhuận giàu nhanh, ko phải uy tín như các cty sở hữu của ng hoa ở miền nam. 
Ko bao giờ ăn đồ bắc kỳ"
309,ở quóc ga nào đây
310,"Thời điểm tháng 12 năm 2025, mình vẫn nhận order đơn hàng làm hộp như bình thường. Ấy vậy mà chỉ sau vài ngày sự việc vỡ lở ra, thay đổi chóng mặt, giờ hàng hóa không được giao, tiền cũng ko thể xin Canfoco chuyển được. Vì họ dừng hoạt động hết rồi còn đâu, người đứng đầu bị bắt, toàn bộ công ty bị vây hãm phong tỏa, nhân viên thì nghỉ hết rồi.. Nói chung thực sự bất ngờ và đau lòng vì một đơn vị lớn và lâu đời đến vậy còn có thể lung lay tới mức này!"
311,mấy cái tiêu chuẩn ISO chất lượng thì dễ lắm :)))
312,Phốt đầu năm :)))
313,Vì lòng tham mà chấp nhận
314,"Quy mô thì sếp phải nói về doanh thu và sản lượng, số lượng tiêu thụ chứ không phải là về sự lâu đời của công ty."
315,"Vụ việc sẽ chỉ được biết đến và chẳng có gì thay đổi về vệ sinh an toàn thực phẩm, hành vi này cũng chỉ là chưa đủ tinh vi, sau vụ này các công ty khác dè chừng và có biện pháp lách luật cũng như che giấu tinh vi hơn thôi."
316,"Ăn bánh mì chưa bao giờ thêm pate, kể cả pate thủ công, tại mình thấy hơi khó ăn và ăn kh hợp, thế mà nó lại cứu mình nhiều pha nhể"
317,đcm trước t hốc cái pate nhiều vcl
318,thèn nào làm thực phẩm bẩn cho tử hình hết xem ai dám làm nữa đm phạt tiền thì thôi nó vẫn lỳ thôi
319,"Đơn giản là nhóm lợi ích thay đổi. Nên thịt toàn bộ các sân sau. Nói chung làm ăn lớn ở VN phải có chỗ dựa quan chức, quan chức tạch thì các sân sau đều bị bế. Đơn giản thế thôi😊"
320,Trong Miền Nam chả ai ăn cái thứ này cả 😂
321,"Tôi đang suy nghĩ có phải người ta đang quên mất vai trò quan trọng của lực lượng chức năng...hay là cũng đang đánh lạc hướng truyền thông?!.  😢Từ đầu năm 2025 đến nay biết bao nhiêu vụ án liên quan đến thực phẩm. Vậy vai trò của người kiểm tra và giám sát nằm đâu?! Xoay qua xoay lại cũng chỉ có người dân là luôn phải chịu hậu quả của những con người tham lam, yếu kém và thiếu đạo đức."
322,bắn chết cũng chả oan từng cái nhỏ nhỏ như vậy lâu dài ảnh hưởng tới sức khoẻ đồng bào trẻ nhỏ gây bệnh tật ảnh hưởng đến vận mệnh dân tộc mang tội phản quốc nên bắn
323,cho mấy ông bà này ăn 1 tháng mới biết
324,may là mìn ko ăn thịt :))))
325,"thế đếu nào cổ phiểu công ty này mấy hôm nay lại tăng ạ, bịp nhỉ"
326,"""Người Việt Nam ủng hộ sản phẩm Việt Nam"" 😂😂😂😂"
327,"Sao cái vụ pate cột đèn lúc phát sóng trên vtv lũ kia bị bắt r, mà nó vẫn bán tràn lan ở cả siêu thị vs shop mall online, công ty vẫn hoạt động bthg. Đến khi đăng lên dân phẫn nộ quá ms đóng cửa nhà máy và bắt thằng TGĐ??? Sao ko cấm bán luôn từ lúc điều tra ra, để trong thời gian đó vẫn bao nhiêu ng mua và ăn phải? Ko biết nó làm lợn bẩn từ bao giờ, nếu đã từ lâu thì cơ quan quản lý có cái tác dụng gì khi để nó bán đồ bẩn suốt bao năm qua. Rồi có cơ quan chức năng nào phải chịu trách nhiệm ko, hay rốt cuộc chỉ là sức khoẻ người dân phải gánh chịu nặng nề. Cơ quan quản lý phải là người chịu trách nhiệm lớn nhất, ko thì biết có bao nhiêu công ty như vậy nữa. Nghĩ mà cay.. 😠😠😠"
328,"lúc xem vd này ngày hôm nay cổ phiếu CAN lại đu đính, có khi là pha úp bô chốt đáy chăng"
329,"1. Whataboutism (Ngụy biện “còn cái kia thì sao?”) – phổ biến nhất

Thay vì đối diện vấn đề đang nói, họ lái sang chỗ khác.

Ví dụ:

“VN nhiều tham nhũng”
→ “Mỹ cũng tham nhũng thôi”

👉 Mục đích: làm loãng vấn đề, không cần giải quyết cái đang bị chê.

2. False equivalence (Đánh đồng sai)

So sánh những thứ không cùng mức độ.

“Nước nào cũng có” nhưng:

Có nơi là 1–2 vụ lẻ tẻ

Có nơi là hệ thống

👉 Đánh đồng để hợp thức hóa cái tệ.

3. Normalization of deviance (Bình thường hóa cái sai)

Sống lâu trong môi trường tệ → não tự coi nó là chuyện bình thường.

Kiểu:

“Ai chả làm thế”
“Quen rồi”

👉 Nguy hiểm nhất vì nó giết chết nhu cầu cải thiện.

4. Cognitive dissonance (Bất hòa nhận thức)

Họ yêu / tự hào / gắn bó với hình ảnh VN trong đầu.

Khi nghe sự thật tiêu cực → não khó chịu → phản xạ phòng vệ.

Cách dễ nhất: phủ nhận hoặc giảm nhẹ vấn đề.

5. Chủ nghĩa AQ / Tự an ủi tập thể

Kiểu “ít ra mình không tệ nhất”.

So sánh xuống để tự thấy đỡ đau.

Nói ngắn gọn cho đúng vibe:

👉 Không phải họ không biết tệ
👉 Mà là họ không chịu nổi việc phải thừa nhận nó tệ

Nên mới đẻ ra câu:

“Ở đâu cũng thế”"
330,tiktoker VN😂
331,Xử phạt ko có sức răn đe. Có lẽ nếu dính vào thực phảm bẩn thì cho đóng cửa doanh nghiệp thì phía cty làm ăn mới chuẩn đv chứ cứ nôp phat roi lại tái phạm
332,Kênh này có chung nhà với vuive văn vở kh v mn
333,Anh Núi chút nữa đã làm việc ở đây 😮
334,Mấy tháng bưng bít thông tin chắc ai đó đã kịp thoát cổ phần
335,"Hình phạt bắt mấy cha cấp phép, mấy cha bên cty HL cùng gđ con cháu ăn hết đống đồ hộp này trong 1 tháng. Ăn nào hết cài xe thịt bẩn đó thì th. ❤"
336,"phải điều tra xem nó dùng lợn bệnh sản xuất từ bao giờ, nếu đã làm từ bao nhiêu năm qua mà không phát hiện ra để nó dùng lợn bẩn bao nhiêu năm thì các đoàn kiểm tra đó phải chịu trách nhiệm trước pháp luật. Nói trc đây kiểm tra không phát hiện ra rồi cho qua là xong à, rồi sức khỏe người dân bị tổn hại nặng nề bao nhiêu năm qua thì sao, hay chỉ người dân phải gánh chịu. Cần phải xử phạt thật nghiêm các cơ quan quản lý không làm đúng trách nhiệm. Nếu ko thì ko biết còn bao nhiêu công ty như vậy nữa. Mạng ng rẻ mạt vậy sao, bao nhiêu vụ rồi xử nhẹ như ko."
337,Hên quá đó giờ ko thích ăn đồ hộp 😢
338,không muốn đánh đồng nhưng giờ đây nhiều sp làm mất niềm tin quá
339,"Tôi mong ra nước ngoài sống, sợ ở việt nam quá, quá tởm, nhà nước quản lý như cc tối ngày lo đớp"
340,"CP tẩy xong rồi, chỗ mình vẫn thấy người ta mua ầm ầm, nhất đợt lên báo nó giảm gần 50% dân mua cũng ác lắm có thấy sợ đâu"
341,nghe truyện ma của đình soạn đã nghe tới pate bận từ lâu rồi khôg ngờ bjo nó lại là hiện thực
342,Nếu như có ai có nói là những người làm review về đồ hộp hạ long vì họ không biết nhưng chính vì họ ko biết lại tâng bốc khen đồ sạch có trọn lọc thì chắc chắn đấy là đang lừa dối buôn bán sức khỏe người tiêu dùng nói chung là hơi đen
343,Bỏ ăn thịt heo đi
344,"Ở VN có 2 loại bệnh gây tử vong cao: 1 là suy thận, 2 là ung thư phổi. Riêng suy thận nó nằm vào top những nc bị suy thận cao nhất thế giới. Ở VN tính đến 2025 có tới hơn 10 triệu người bị suy thận. là 10-13% dân số (đéo đùa luôn, 10-15% dân số bị mắc căn bệnh mà phải chữa trị suốt đời). Nguyên nhân chính dẫn đến suy thận là do nguồn thực phẩm bẩn, lối sống ko lành mạnh....Nhưng ở VN thực phẩm bẩn là tác nhân đóng vai trò lớn nhất, mới đây mới phát hiện 1 doanh nghiệp dùng borax (hàn the - chất gây ảnh hưởng trực tiếp tới thận, bị cấm dùng trong công nghiệp thực phẩn) để làm 800 tấn mì tươi. Điều đáng nói là doanh nghiệp này đã hoạt động đc hơn 10 năm và mới chỉ bị bắt trong cuối năm 2025. 
Suy thận ở VN ngày càng trẻ hóa tới mức báo động, có đến 90% người đi khám ko biết mình bị mắc bệnh thận.

Còn về ung thư phổi thì do ô nhiễm môi trường cực kỳ nặng. Ko phải IQAir nó điên khùng, nó ghét VN mà nó cho Hà Nội, Tp. HCM vào top các TP ô nhiễm nhất TG liên tục."
345,Điều gì khiến doanh nghiệp phải bất chấp như thế? Thị trường cạnh tranh khốc liệt? Kinh doanh thua lỗ? Đơn giản là giá trị của một con lợn sạch quá cao? Hay người dân vẫn nghèo và cần ăn đồ giá trị hợp lý hoặc gọi là rẻ. Nói to quá thì bị gõ
346,70k là heo hơi; còn thành thịt 120k ấy
347,T thấy đồ ăn Việt Nam mình ngon mà đa dạng thật nhưng từ xưa t chả mấy khi giới thiệu cho bạn bè nước ngoài gì nhiều trừ khi t nấu cho ăn thôi. Vì vđ vệ sinh thực phẩm bao lâu nay chả khá lên tý nào. Nhiều khi xem mấy cái vid dẫn người nước ngoài đi ăn quán ăn đường phố rồi nhà hàng VN t toàn nghĩ trong đầu là mấy đồ này bẩn vl mà giới thiệu (nhưng ngon thật :(()
348,May thế thấy quảng cáo hot đang tính mua ăn tết thôi giờ nhịn hoặc tự nấu cho lành
349,"Xui 1 cái, đoạn cuối tháng 11 - đầu tháng 12/2025, vợ chồng mình đi du lịch dài ngày (chỉ đi trong nước), nên mua khá nhiều đồ hộp mang theo, và phần lớn trong số đó là của Hạ Long. Sau chuyến đó về giữa tháng 12 mình từng bị nổi ban, phù nề khá nặng, đau nhức xương khớp, chảy máu kết mạc. Bác sĩ nghi sốt phát ban, nhưng bác có nói một vài triệu chứng rất lạ nhưng lại ko xác định được nguyên nhân. Cũng may nằm bẹp gần 2 tuần thì sức khoẻ mình cũng tốt hơn, giờ nghe tin này thực sự rùng mình!"
350,"Cty CP lúc nào cũng hot để thêm vào, tôi không biết mục đích bạn thêm vào làm gì. Nhưng bạn cần nói đúng và đủ, CP không hề có vấn đề gì về uy hiếp hay tẩy trắng về vấn đề thịt heo sảy ra ở Sóc Trăng. Còn cơ quan chức năng đã ra kết luận văn bản số 10922/TB-CSKT ngày 29/6/2025), kết luận: Công ty Cổ phần Chăn nuôi C.P. Việt Nam không có dấu hiệu vi phạm quy định về an toàn thực phẩm quy định tại khoản 2 Điều 157 Bộ luật Tố tụng hình sự. Đồng thời, quyết định không khởi tố vụ án hình sự “Vi phạm về quy định an toàn thực phẩm” theo văn bản số 6392/QĐ-CSKT ngày 27/06/2025 bạn nhé. Tôi rất hay xem kênh của bạn những hãy đưa nhưng thông tin đúng."
351,Tử hình hết
352,Đài Loan đã phát hiện từ năm 2019 rồi   ...! 😂😂😂
353,Khá là hài là sau khi ăn quả đòn vậy thì tập đoàn đăng lên quả fb là ko sao đâu đã xử lý nhiệt r và nấu lên rồi sẽ ko.có virus nữa. Vừa nhận là nhập thịt bẩn về bán nhưng cũng lấp liếm là đã nấu lên r del sợ =]. Nhà ngay đấy nhưng vẫn thấy tởm vaicacut
354,Dân VN mà được ăn thực phẩm sạch với hít thở không khí trong lành chắc thọ hơn Nhật bổn 😂
355,"Cái mắc cười là cư dân mạng lại đi chửi các tiktoker, trong khi họ cũng là nạn nhân. Cái ngon và cái sx nó khác lắm, bạn ăn món đó bạn sẽ thấy ngon cho đến khi bạn nhìn thấy quy trình sản xuất. Các nhà tạo nội dung cũng vậy thôi, họ chỉ ăn và nêu cảm nhận, nếu có pr thì họ cũng có cái giấy KIỂM ĐỊNH.
Cái đáng nói ở đây là bộ phận kiểm định ở đâu khi hành vi này có thể đã thực hiện nhiều năm"
356,"năm 2019 trên báo đài loan đã phát hiện hàng nhập khẩu từ VN vào đài loan dương tính với dịch tả lợn nhé, Chúng nó đầu độc dân này hàng chục năm rồi"
357,Heo bệnh là phải bị tiêu huỷ . Còn được nhà nước hỗ trợ tiêu huỷ mỗi con bao nhiêu tiền nữa. Chà cái dây này càng kéo càng dài .
358,"sai nhé, mỹ phẩm giả có thể gây rất nhiều bệnh nghiêm trọng về da, thậm chí là ung thư da đấy, ko phải chỉ đơn giản là gây ""kích ứng da"" đâu!"
359,Clip 14' hết 5 cái quảng cáo :v
360,"Hài hước nhất là nô tài bị mang tiếng cả đời và bị tù ,còn kẻ thật sự thì đang sung sướng ngôi vững 😂😂 tao tự hỏi bọn an toàn thực phẩm đâu"
361,"Ông Lóng này học thức, hiểu biết ko phải dạng vừa :v"
362,Chắc ng bắc ăn thịt lợn bệnh của hộp hạ long lâu nên ko phát hiện từ đó đến bây giờ😂
363,Sao 70 năm mới biết
364,"Lúc Bé Thì Sợ Đủ Điều , Sợ ma ... , Lớn Rồi Thì Sợ Nhất Là Lòng Người 😢"
365,Vụ Pate Minh Chay không phải do chế độ tiệt trùng có vấn đề mà là do công ty không hướng dẫn người tiêu dùng bảo quản đúng cách với khối lượng pate quá lớn không thể sử dụng hết trong thời gian ngắn và do sản phẩm không chứa chất bảo quản nên mới xảy ra sự cố hư hỏng do C.Botulinum gây ra như thế nhé! Nói phải nói cho đúng! Đồ hộp đã tiệt trùng thì không nên chứa chất bảo quản nữa!
366,"một trong số những nạn nhân vô hình không được nhắc đến chính là ""pate cột đèn"" và những người làm/bán pate truyền thống ở chợ Cột Đèn (HP). Không rõ chất lượng của những nhà làm pate cột đèn gia truyền thế nào nhưng cho dù có liêm mấy đời cũng sẽ bị ảnh hưởng vì cty đồ hộp Hạ Long"
367,t tưởng t né được hết cho đến khi nhớ lại con CP :((((
368,"Anh 7 từng nói "" đạo tâm phải kiên định """
369,"Dân mình hại mình vì "" Tiền """
370,"dân đen vẫn là dân đen, người có quyền và kẻ cầm quyền muôn đời vẫn vậy=)))tưởng rằng  quá độ lên CNXH tốt biết bao. Hoá ra bao đời nay, cả cái thế giới đều chung 1 hệ tư tưởng là tham quan, xử thì xử cả bên vsattp nữa cho đủ bộ, xây cả nhà tù cho cán bộ như TQ ấy, hả hê vcl"
371,Cty này có phải suýt nữa a Núi vào làm ko nhỉ 😂
372,"cái quan trọng là đội ngũ kiểm duyệt, đội ngũ kiểm tra nhập khẩu. 130 tấn ko hề nhỏ. để lọt vào thị trường thì trách nhiệm ko chỉ ở công ty hạ long mà còn liên qua đến nhiều bên khác nữa"
373,Phải ghép vào tội diệt chủng loài người nó mới sợ.
374,"Đồ hộp công ty lớn, có nhà cung cấp đàng hoàng đấy nhé còn lợn này. Hình dung pate chét lên mỗi cái bánh mỳ buổi sáng thì ntn. T dừng ăn bánh mỳ cho tới khi hết sang trấn"
375,"Bọn nào cấp phép, quản lý chất lượng thì cũng phải cho đi tù luôn mới chừa"
376,"Thằng cấp phép , kiểm tra thông qua thì kh tìm , bắt mà dân mạng đi tẩy chay các ttker , highland 😂
Còn ngu v thì ăn bẩn dài dài"
377,"Có trường hợp nào ghi nhận có người ☠️ sau khi ăn chưa nhỉ ? Ăn cái này sao mà sống bth cho nổi. Còn nếu chưa có ai bị gì thì bên đó dây chuyền xử lý thịt kiểu gì hay thế?
Đợt vụ bánh mì có pate để nửa ngày là ải chỉa hàng loạt rồi chứ heo bệnh mà không 1 ai bị gì nó cứ mập mờ thế nào ý nhỉ ???"
